,n,time
0,1,8.620000153314323e-06
1,11,0.0023400199999741743
2,21,0.01579777999977523
3,31,0.048298480000448764
4,41,0.12403329999979178
5,51,0.21301510000048438
6,61,0.36740453999991585
7,71,0.5761855599997944
8,81,0.873069700000633
9,91,1.2285500999998475
10,101,1.682250400000703
11,111,2.1593528600002174
12,121,2.8099900600002004
13,131,3.6350018200002525
14,141,4.527557539999907
15,151,5.36271029999989
16,161,6.6925935800001755
17,171,8.043416100000105
18,181,9.696334280000155
19,191,11.767089999999735
20,201,13.207996700000148
21,211,15.453049559999636
22,221,17.406633140000487
23,231,20.44451572000071
24,241,22.643354659999385
25,251,25.66949278000029
26,261,28.7153521799999
27,271,32.11058080000002
28,281,35.70379823999974
29,291,39.7396482600001
30,301,42.62219817999976
31,311,47.70248056000018
32,321,51.89123238000029
33,331,57.24748497999972
34,341,64.31511330000066
35,351,68.49269472000015
36,361,74.88840408000033
37,371,81.23465930000093
38,381,88.01444455999953
39,391,94.63726145999972
40,401,101.83980208000067
41,411,108.33801057999881
42,421,116.27282598000019
43,431,124.78101387999922
44,441,136.38727386000028
45,451,144.28933445999937
46,461,153.15259273999908
47,471,164.5160847200008
48,481,173.85791026000007
49,491,186.4044940400003
